DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,ARTIGO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Este foi o segundo programa da série Eletroacústicas sobre a autora, idealizado pelo compositor Rodrigo Cichelli. As obras difundidas neste programa , além da entrevista foram: 'Um dia feito d'água'.","",,,,,,,1,,,,,,,,,,,
"No terceiro e último programa da série dedicado à autora foi difundiudo, além da entrevista as obras: "Infobodies" e Par Lui 2".","",,,,,,,2,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,3,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,4,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,5,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,6,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,7,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,8,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,9,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,10,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,11,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,12,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,13,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,14,,,,,,,,,,,
"A série traz ao ouvinte uma questão das mais antigas da música ocidental, ao mesmo tempo uma das mais difíceis de se abordar ao publico sem o uso de termos técnicos específicos da área: o conceito de harmonia em música. Ela se coloca o desafio falar desse tema de maneira que todos os ouvintes possam ter a dimensão do pensamento musical no que tange ao parâmetro da altura ou frequência,. Vamos tratar não da disciplina técnica ?harmonia? que se ensina nas Escolas de Música, mas, sem fugir dessa esfera, abordar o conceito de harmonia no campo da música de uma maneira mais abrangente e sob ângulos pouco convencionais. Para isso vamos percorrer uma literatura musical o mais ampla possível, com obras de diferentes períodos da chamada música clássica ocidental e emprestando nossos ouvidos e corações a músicas de outras culturas, clássicas ou não.","",,,,,,,15,,,,,,,,,,,
"No dia 19/11/207 o programa de rádio Supertônica apresentado por Arrigo Barnabé foi dedicado à apresentação de obras de diferentes períodos da compositora Denise Garcia que foi também entrevistada.","",,,,,,,16,,,,,,,,,,,
"Entrevista de Arrigo Barnabé à compositora Denise Garcia que ouve e comenta LP de Jorge Antunes, pioneiro na área da música eletrônica erudita..","",,,,,,,17,,,,,,,,,,,
"O programa foi realizado pela jornalista alemã Nathalie Singer, que alternou a entrevista com a compositora Denise Garcia à execução de suas obras eletroacústicas.","",,,,,,,18,,,,,,,,,,,
"Foram convidados os seguintes palestrantes:
Prof. José Augusto Mannis - UNICAMP
Prof. Silvio Baroni - UNICAMP
Prof. Silvio Ferraz - PUC SP
 Profa. Heloisa Valente - PUC Santos)
Mariza Fonterrada - UNESP 
Fernando Iazzeta - USP 
Rosangela Tugny - UFMG
Marcos Branda Lacerda - USP 
Fausto Borem - UFMG","",,,,,,,,1,,,,,,,,,,
"Transmissão ao vivo de concertos com a Orquestra Filarmônica de Munique sob regência do maestro Sergiu Celibidache.","",,,,,,,,2,,,,,,,,,,
"A obra foi uma encomenda do projeto Pró-Bandas em 2007.","",,,,,,,,,0,,,,,,,,,
"Pesquisa, orientação, composição e montagem da trilha musical para o espetáculo "Impressões Brasileiras" de Marília de Andrade - Laboratório Unicamp de Movimento e
Expressão - apresentações no Centro de Convivências - Campinas (1987/88) e
no Centro Cultural São Paulo - São Paulo (1988)","",,,,,,,,,,0,,,,,,,,
"Produção musical e composição para o workshop-montagem "Labirintus" de Ismael Ivo, direção de Marcio Aurélio - I Festival Internacional de Teatro de Campinas.","",,,,,,,,,,1,,,,,,,,
"Composição e direção musical dos espetáculos de formatura de Depto de Artes
Corporais, "Essas Mulheres" e "Dorme, dorme Frankstein", direção de Graziela
Rodrigues - apresentações na Unicamp- Campinas, S.P.","",,,,,,,,,,2,,,,,,,,
"Participação musical ao piano e composição musical no espetáculo de dança "Totem, Cia. de Dança" da coreógrafa Holly Cavrell - Projeto Dança Nova - Teatro Brasileiro de Comédia ? temporada em fevereiro - São Paulo, S.P.","",,,,,,,,,,3,,,,,,,,
"Assessoria Musical para a montagem do espetáculo de dança - ?Interiores? - pelo
Depto. de Artes Corporais - Unicamp - direção de Graziela Rodrigues.","",,,,,,,,,,4,,,,,,,,
"Criação, gravação e produção do design sonoro do espetáculo de dança ?Diante dos Olhos? por alunas do Depto de Artes Corporais, sob direção da profa. Graziela Rodrigues ? Unicamp","",,,,,,,,,,5,,,,,,,,
"Criação musical para a obra coreográfica ?Em Verso, Em Obra? de Mariana Muniz, apresentada no dia 23/ 03/99 no Auditório do Sesc Vila Mariana. Evoluída para ?Dantea? em temporada no Itaú Cultural de São Paulo de 23 a 26/03/2000.","",,,,,,,,,,6,,,,,,,,
"Direção musical e interpretação ao piano no espetáculo "Le Corps Mouvant " de Luís Otávio Burnier - espetáculo de encerramento do "I Festival de Mímica de São Paulo" - Sesc Pompéia, São Paulo.","",,,,,,,,,,7,,,,,,,,
"Direção musical, composição e produção da música para o espetáculo teatral "O
Guarani" - direção Luis O. Burnier - Grupo Quadricrômico e LUME temporada no
teatro Ruth Escobar, São Paulo e apresentações no Centro de Convivência de
Campinas,S.P.","",,,,,,,,,,8,,,,,,,,
"Participação musical ao piano no "Duo para Piano e Mímica" com Luís Otávio Burnier, com
apresentações no Centro de Ciências Letras e Artes, Campinas (1988) e no "Patras International Festival", Grécia (1989)","",,,,,,,,,,9,,,,,,,,
"Composição e direção musical do espetáculo "Homenagem a Grotowiski", realizado pelos
trezentos artistas participantes do "Reencuentro Ayacucho 88"; direção Geral de Eugenio Barba apresentado nas Ruinas de Cajamarquilla, Lima, Peru","",,,,,,,,,,10,,,,,,,,
"Direção musical no laboratório experimental com o texto teatral "A Casa de Bernarda Alba" de Federico Garcia Lorca - Colóquio Internacional de Teatro "WOMEN IN THEATER GROUP II" Wuppertal, Alemanha.","",,,,,,,,,,11,,,,,,,,
"A proposta de "Concertato"- realizado pela Orquestra Sinf§onica da Unicamp e os atores do LUME-Teatro Unicamp, é a de realizar um concerto-espetáculo que conjugue música e cena teatral. A autora concebeu o trabalho, selecionou as obras, criou o roteiro e adaptou as obras musicais para o espetáculo.","",,,,,,,,,,12,,,,,,,,
"Direção musical, composição, produção da trilha e atuação na peça teatral "Pax et
Mullier" de Jean Pierre Kaletrianos - Grupo Teatral Tapandari - São Paulo ?
temporada no Teatro Studio São Pedro - São Paulo.
Instrumentação: oboé, violino, percussão , vozes e sintetizador.","",,,,,,,,,,13,,,,,,,,
"O Concerto esta vinculado ao I seminário de Engenharia de audio - SEMEA","",,,,,,,,,,,0,,,,,,,
"A obra Par Lui teve nesse concerto a sua estréia brasileira e paulista.","",,,,,,,,,,,1,,,,,,,
"A obra foi interpretada pelo Quarteto Martim Fontes no Tetatro Municipal Brás Cubas em Santos","",,,,,,,,,,,3,,,,,,,
"Obra apresentada na V BIMESP - Bienal Internacional de Música Eletroacústica de São Paulo.","",,,,,,,,,,,4,,,,,,,
"A obra para contrabaixo solo foi interpretada por José Roberto Viana","",,,,,,,,,,,5,,,,,,,
"Obra apresentada pela DeutschlandRadio de Berlim no evento já registrado","",,,,,,,,,,,9,,,,,,,
"Obra apresentada pela |DeutschlandRadio de Berlim no evento já registrado","",,,,,,,,,,,10,,,,,,,
"Obra apresentada pela DetschlandRadio de Berlim no evento já registrado","",,,,,,,,,,,11,,,,,,,
"obra apresentada no Programa da DeutschlandRadio de Berlim no conjunto do evento registrado","",,,,,,,,,,,12,,,,,,,
"Obra apresentada pela DetschlandRadio de Berlim dentro do evento já registrado","",,,,,,,,,,,13,,,,,,,
"Estreia mundial da Obra Dos Salmos pelo Coro Ars Antiqua, regencia de Stephan Claas, Alemanha","",,,,,,,,,,,17,,,,,,,
"obra musical de genero eletroacustico mista para 
soprano, suporte digital e video","",,,,,,,,,,,25,,,,,,,
"Instalação sonora montada no evento AMAZONIA com a obra eletroacústica Um dia feito d'água (1993) para suporte digital. Haus der Kultur der Welt - Berlim, Alemanha. De 16/09 a 01/10/2000.","",,,,,,,,,,,26,,,,,,,
"Infobodies ? unfold and potencialities ? performance que reune música
eletroacústica mista para soprano e suporte, performance ao vivo e projeções de
texto e imagens? estréia no Simpósio Invenção ? Itaú Cultural São Paulo, 29
de agosto.","",,,,,,,,,,,27,,,,,,,
"Trecho de criação musical para a obra coreográfica ?Em Verso, Em Obra? de Mariana Muniz, apresentada no dia 23/ 03/99 no Auditório do Sesc Vila Mariana. Evoluída para ?Dantea? em temporada no Itaú Cultural de São Paulo de 23 a 26/03/2000.","",,,,,,,,,,,29,,,,,,,
"Obra executada durante o festival Ruído - Primer Festival de Arte Sonoro, no dia 29/07/1999.","",,,,,,,,,,,30,,,,,,,
"A obra foi interpretada pelo Kammerchor Ars Antiqua, sob regência de Stefan Claas. O concerto foi em homenagem às vítimas das guerras e holocausto.","",,,,,,,,,,,32,,,,,,,
"Concerto representativo no evento do Ano Brasil na França","",,,,,,,,,,,33,,,,,,,
"Concerto focaliza a obra da compositora e apresentou as seguintes obras: Continuo em Mi (estréia mundial), Trem-pássaro, Infobodies, Par Lui 2, Vozes da Cidade. Participação de Lúcia Cervini (piano) e Martha Herr (soprano).","",,,,,,,,,,,34,,,,,,,
"A obra teve sua estréia mundial no concerto do 41º Festival música Nova,no dia 11 de agosto de 2006, com apresentação pela Banda Sinfônica do Estado sob a regência de Dario Sotelo, tendo sido encomenda da Banda Sinfônica do Estado","",,,,,,,,,,,35,,,,,,,
"Concerto do Música Temporalia em Paris. A obra foi interpretada pela pianista Lúcia Cervini e o concerto foi organizado pela pianista francesa Martine Joste. Ano de composição: 2005.","",,,,,,,,,,,36,,,,,,,
"O concerto teve curadoria de Ana Maria Romano e foi apresentado no dia 27 de julho de 2006","",,,,,,,,,,,37,,,,,,,
"A presente orquestração faz parte do projeto do Maestro Dario Sotelo de criação de um repertório latino-americano para orquestra de sopros aos moldes do repertório americano.","",,,,,,,,,,,38,,,,,,,
"A presente orquestração faz parte do projeto do Maestro Dario Sotelo de criação de um repertório latino-americano para orquestra de sopros nos moldes dorepertório americano.","",,,,,,,,,,,39,,,,,,,
"Obra apresentada no Festival de Música Eletroacústica Jovem","",,,,,,,,,,,40,,,,,,,
"O Concerto foi o encerramento do Encontro de Compositores, Arranjadores e Regentes, promovido pelo Conservatório de Tatuí.","",,,,,,,,,,,41,,,,,,,
". A obra "Branco" para barítono e orquestra de cordas, foi composta para a Orquestra de Câmara da USP (OCAM) e teve sua estréia no dia 31 de agosto de 2007 no âmbito do 42º Festival Música Nova sob regência do Maestro Gil Jardim e com o barítono solista Daniel Lee. Tem duração média de 14 minutos.","",,,,,,,,,,,42,,,,,,,
"Obra apresentada no concerto Quimera Sonora do GMEM - Centre National de Creation Musicale (França) no Rio de Janeiro. O Concerto foi organizado pelo Prof. Dr. Rodrigo Chiccelli da Escola de Música da UFRJ juntamente com o Centro de Artes da UNIRIO","",,,,,,,,,,,43,,,,,,,
"A obra foi apresentada pelo Grupo Paralax da Unicamp","",,,,,,,,,,,44,,,,,,,
"A obra foi interpretada pela Orquestra Sinfônica da Universidade de São Paulo (OSUSP), a regente Érica Hindrikson, barítono Daniel Lee.","",,,,,,,,,,,46,,,,,,,
"Regencia: Simone Menezes
Piano: Maria José Carrasqueira
vibrafone: Cesar Traldi","",,,,,,,,,,,47,,,,,,,
"O concerto faz parte da série Programação Música Erudita Contemporânea da CPFL Cultura, sob curadoria de Simone Menezes son coordenação de João Marcos Coelho - os intérpretes são: Pedro DellaRolle (primeiro violino), Liliana Chirac (segundo violino), Adriana Schincariol Vercellino (viola) e Ana Chamorro (violoncelo)","",,,,,,,,,,,48,,,,,,,
"A obra, interpretada pela Orquestra Sinfônica da Unicamp sob regência de Simone Menezes, fez parte do concerto "Simetrias" constituido de obras de Jonatas Manzolli, Denise Garcia e Silvio Ferraz. Esse concerto integrou as comemorações de 45 anos da Universidade de Campinas.","",,,,,,,,,,,49,,,,,,,
"O concerto/espetáculo "Concertato" conjuga música sinfônica com atuação cIenica de clown. O projeto foi desenvolvido em parceria dos núcleos de pesquisa da Unicamp CIDDIC e LUME teatro. A concepção, roteiro e direção geral foi de Denise Garcia, com regência de Simone Menezes e os atores Carlos Simioni e Ricardo Puccett. Direção cênica dos músicos é de Ricardo Pucetti. As três apresentações ocorridas nos dias 14. 15 e 16 de outubro, no âmbito das comemorações dos 45 anos da UNICAMP.","",,,,,,,,,,,50,,,,,,,
"Musicista executante de piano nas gravações do quadro "instrumentos musicais" 70 programas","",,,,,,,,,,,51,,,,,,,
"Regencia de Cinthia Alireti, barítono Kaynan Consolin","",,,,,,,,,,,54,,,,,,,
"A obra foi interpretada pelo Kontakte DUO - Nath Calan e Fernando Chaib","",,,,,,,,,,,55,,,,,,,
"Apresentações do mesmo programa nos dias: 23/10/2013, 24/10/2013 e 22/02/2014","",,,,,,,,,,,56,,,,,,,
"o Título do CD é "Música Eletroacústica Brasileira" publicado pelo selo Rio Arte digital - do Instituto Municipal de Arte e Cultura do Rop de Janeiro","",,,,,,,,,,,57,,,,,,,
"O Cd " A Casa do Poeta" foi publicado com apoio da FAPESP e do FAEPEX/UNICAMP. Contém as seguintes obras eletroacústicas da compositora: Par Lui 2, Infobodies, trem-pássaro, vozes da cidade e um dia feito d'água.","",,,,,,,,,,,60,,,,,,,
"A regência do Kammerchor Ars Antiqua é de Stefan Claas","",,,,,,,,,,,61,,,,,,,
"O Coral montado especialmente para a temporada do espetáculo, foi regido para a gravação do Cd pelo Maestro Carlos Fiorini","",,,,,,,,,,,62,,,,,,,
"No dia 18/07/2010 o programa Kaleidoscópio organizado e apresentado pelo compositor Almeida Prado foi dedicado à apresentação de obras de diferentes períodos da compositora Denise Garcia.","",,,,,,,,,,,63,,,,,,,
"No dia 19/11/207 o programa de rádio Supertônica apresentado por Arrigo Barnabé foi dedicado à apresentação de obras de diferentes períodos da compositora Denise Garcia que foi também entrevistada.","",,,,,,,,,,,64,,,,,,,
"O programa é realizado pelo compositor e professor José Augusto Mannis, uma realização do CDMC-Brasil UNICAMP, programa nº58 e foi divulgado o CD Kelbilim o Cão da Divindade com músicas de Denise Garcia e poemas de Hilda Hilst interpretados por Carlos Simioni","",,,,,,,,,,,65,,,,,,,
"A apresentação da obra teatral foi resultante de projeto premiado pela Caixa Econômica Federal, no qual do Grupo Lume/Unicamp fez apresentações de quatro obras de seu repertório e ministrou oficinas pelo período entre 15/03/2007 a 06/05/2007. 
A peça Sopro é um solo teatral sem texto, no qual a música eletroacústica é a única fonte sonora da peça e dura toda a performance cênica.","",,,,,,,,,,,66,,,,,,,
"O espetáculo Sopro constitui-se de um monólogo interpretado pelo ator Carlos Simioni sob direção cênica do diretor japonês Tadashi Endo e música eletroacústica de Denise Garcia. A estréia ocorreu no dia 09 de junho. O espetáculo, sem texto constitui-se da ação cênica e música durante os 47 minutos de duração. Foi apresentado também no Festival Internacional de Teatro de São josé do Rio Preto, Festival de teatro de Brasília, Festival Rio-Cena e fez curta temporada no SESC Vila-Nova em São Paulo durante o ano de 2006.","",,,,,,,,,,,67,,,,,,,
"A temporada de 31 apresentações foi comemorativa aos 20 anos do Núcleo de Pesquisas Teatrais LUME/UNICAMP, de janeiro a abril de 2005","",,,,,,,,,,,68,,,,,,,
"Título do evento no qual foi montado o trabalho: Território Expandido, de 11 a 29 de julho de 2001 

O grupo Infobodies surgiu em São Paulo em 1999, a partir da reunião de artistas, cientistas e tecnólogos interessados em discutir novas perspectivas expressivas para a arte e a ciência. Um dos resultados foi o poemna polimorfo Infobodies. O roteiro utilizou diversoso códigos visuais e verbais. A música foi composta a partir de vozes humanas naturais, sintetizadas e tratadas digitalmente. As imagens são uma sucessão de pontos de fuga e transparências referenciadas no universo da ficcção científica.","",,,,,,,,,,,69,,,,,,,
"Projeto de difusão de espaços sonoros inspirado na obra Poema Sujo de Ferreira Gullar, com as obras Vozes da Cidade, Trem-pássaro, Um Dia feito d'água e Bizuza.","",,,,,,,,,,,71,,,,,,,
"Transmissão do Concerto do Festival de Darmstadt - obra: Poema Sujo
Rádio de Frankfurt - Alemanha Oc.","",,,,,,,,,,,72,,,,,,,
"Obra apresentada no programa "Clássicos em Revista" - Maestro Walter Lourenção - obra: Poema Sujo
Rádio Cultura - São Paulo","",,,,,,,,,,,73,,,,,,,
"Programa &#699;Pour un Homme Seul - 5 Ensaios para Pierre Schaeffer&#700; - transmissão e
comentários sobre a sua obra Trem Pássaro- Rádio Cultura, São Paulo,1/10/95 .","",,,,,,,,,,,74,,,,,,,
"Composição e interpretação musical (piano) para o solo coreográfico "Augenblick"
de Christine Hasting apresentado no espetáculo "Dancers in Munich" Hasting
Tans Studio - Munique, Alemanha","",,,,,,,,,,,75,,,,,,,
"Colaboração na criação e produção de vinhetas para o programa "Controle
Remoto" com Hélio Ziskind - Rádio Cultura - São Paulo","",,,,,,,,,,,77,,,,,,,
"Participação como pianista na gravação do programa infantil "O Castelo de Ra-timbum"
(25/03/93) TV Cultura, São Paulo","",,,,,,,,,,,78,,,,,,,
"Produção musical para o vídeo-documento da Profa Jeanine M. Holis ?
Departamento de Artes Corporais, UNICAMP","",,,,,,,,,,,79,,,,,,,
"Redução de partitura orquestral para piano.","",,,,,,,,,,,81,,,,,,,
"Audição comentada da obra durante o Festival Internacional de Mulheres Compositoras, realizada no dia 22/11/1995","",,,,,,,,,,,84,,,,,,,
"Obra apresentada durante a XI Bienal de Música Brasileira Contemporânea em 28/11/1995.","",,,,,,,,,,,85,,,,,,,
"Quatro movimentos da obra Kelbilim, o cão da divindade (1988) foram apresentados no II Festival de Música Sacra em Sumaré - SP, pelo Coral Paulistano com regência de Samuel Kerr no dia 16/11/1996.","",,,,,,,,,,,86,,,,,,,
"Primeira audição mundial no Concerto do III Congresso Latinoamericano de Semiótica - São Paulo, 1996.","",,,,,,,,,,,87,,,,,,,
"Concerto em comemoração ao lançamento dos CDs Estúdio da Glória e Música Eletroacústica Brasileira, realizado no dia 11/10/1996","",,,,,,,,,,,89,,,,,,,
"Obra apresentada durante a Terceira Bienal Internacional de Arquitetura de São Paulo - SP, no dia 14/11/1997","",,,,,,,,,,,90,,,,,,,
"Obra apresentada durante o II Encontro de Música Eletroacústica em 14/05/1997","",,,,,,,,,,,91,,,,,,,
"Obra apresentada em concerto durante o festival Futura 98 em 23/03/1998, em Lyon - França","",,,,,,,,,,,92,,,,,,,
"Obra apresentada durante o evento Escuta - Um Abraço Sonoro no Rio de Janeiro, no dia 02/11/1998","",,,,,,,,,,,93,,,,,,,
"Obra apresentada durante o festival ÉuCue em Montréal - CA, com obras de compositores brasileiros e mexicanos, em 14/10/1998 .","",,,,,,,,,,,94,,,,,,,
"Criação musical para a obra coreográfica de Mariana Muniz, apresentada no dia 23 de março no Auditório do Sesc Vila Mariana, São Paulo.","",,,,,,,,,,,95,,,,,,,
"Música executada em concerto durante o seminário Música e Novas Tecnologias, coordenado por Aldo Brizzi na Escola de Música da UFBA, em 28/10/1999","",,,,,,,,,,,96,,,,,,,
"Obra apresentada em ensaio aberto do grupo Paralax de Música Contemporânea Brasileira","",,,,,,,,,,,97,,,,,,,
